,Position,Track Name,Artist,Streams,URL,date
47,48,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,10861129,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,2020-01-12
48,49,How Do You Sleep?,Sam Smith,10675280,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2020-01-12
49,50,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,10429673,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,2020-01-12
50,51,Eleven,Khalid,9980845,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74,2020-01-12
51,52,Roses - Imanbek Remix,SAINt JHN,9879176,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020-01-12
52,53,"10,000 Hours (with Justin Bieber)",Dan + Shay,9877679,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,2020-01-12
53,54,Whine Up,Nicky Jam,9807122,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,2020-01-12
54,55,Trampoline (with ZAYN),SHAED,9706244,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI,2020-01-12
55,56,Look At Her Now,Selena Gomez,9696742,https://open.spotify.com/track/7eOkHIcaoUhngxxypM5Ajr,2020-01-12
56,57,LA CANCIÓN,J Balvin,9683551,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2020-01-12
57,58,Lalala,Y2K,9430752,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2020-01-12
58,59,7 rings,Ariana Grande,9275664,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2020-01-12
59,60,If the World Was Ending - feat. Julia Michaels,JP Saxe,9267712,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-01-12
60,61,Muévelo,Nicky Jam,9052626,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ,2020-01-12
61,62,Callaita,Bad Bunny,9050249,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2020-01-12
62,63,No Me Conoce - Remix,Jhay Cortez,8945749,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2020-01-12
63,64,Goodbyes (Feat. Young Thug),Post Malone,8871855,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2020-01-12
64,65,Morado,J Balvin,8863644,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks,2020-01-12
65,66,Adicto (with Anuel AA & Ozuna),Tainy,8799193,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2020-01-12
66,67,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,8798732,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,2020-01-12
67,68,lovely (with Khalid),Billie Eilish,8731078,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020-01-12
68,69,VIBEZ,DaBaby,8722377,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,2020-01-12
69,70,when the party's over,Billie Eilish,8673153,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2020-01-12
70,71,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,8575937,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,2020-01-12
71,72,Old Town Road - Remix,Lil Nas X,8542533,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2020-01-12
72,73,Shallow,Lady Gaga,8542251,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020-01-12
73,74,Ransom,Lil Tecca,8458698,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2020-01-12
74,75,Sum 2 Prove,Lil Baby,8315509,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz,2020-01-12
75,76,Que Tire Pa Lante,Daddy Yankee,8261322,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,2020-01-12
76,77,Blanco,J Balvin,8247333,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,2020-01-12
77,78,Yellow Hearts,Ant Saunders,8147063,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,2020-01-12
78,79,It's You,Ali Gatie,7993691,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,2020-01-12
79,80,OUT WEST (feat. Young Thug),JACKBOYS,7806768,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,2020-01-12
80,81,Mean It,Lauv,7786431,https://open.spotify.com/track/5ACkb3CikcSZPF0h7FSZAp,2020-01-12
81,82,July,Noah Cyrus,7684244,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,2020-01-12
82,83,Happier,Marshmello,7679204,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020-01-12
83,84,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,7640860,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,2020-01-12
84,85,Aventura,Lunay,7588173,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,2020-01-12
85,86,Woah,Lil Baby,7574330,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,2020-01-12
86,87,Vulnerable,Selena Gomez,7531094,https://open.spotify.com/track/11OwAR3GlBj9E35Cznf7Lj,2020-01-12
87,88,Lights Up,Harry Styles,7518268,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,2020-01-12
88,89,Wow.,Post Malone,7413847,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,2020-01-12
89,90,Dance Again,Selena Gomez,7394604,https://open.spotify.com/track/5sK3o66yupTNIK6gWgzGjf,2020-01-12
90,91,Robbery,Juice WRLD,7197147,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2020-01-12
91,92,Psycho,Red Velvet,7158632,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2020-01-12
92,93,Sucker,Jonas Brothers,7141656,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2020-01-12
93,94,Falling,Harry Styles,7052240,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2020-01-12
94,95,Indeciso,Reik,7025168,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,2020-01-12
95,96,Bellaquita - Remix,Dalex,7005691,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,2020-01-12
96,97,Money In The Grave (Drake ft. Rick Ross),Drake,7001606,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2020-01-12
97,98,Without Me,Halsey,6936299,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2020-01-12
98,99,rockstar (feat. 21 Savage),Post Malone,6920999,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2020-01-12
99,100,Believer,Imagine Dragons,6861803,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-01-12
100,101,Quizas,Rich Music LTD,6843865,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,2020-01-12
101,102,Liberdade Provisória,Henrique & Juliano,6774224,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,2020-01-12
102,103,Piece Of Your Heart,MEDUZA,6756755,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,2020-01-12
103,104,"Alone, Pt. II",Alan Walker,6740195,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,2020-01-12
104,105,Bruises,Lewis Capaldi,6702830,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2020-01-12
105,106,Bohemian Rhapsody - 2011 Mix,Queen,6696794,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2020-01-12
106,107,Ring,Selena Gomez,6693229,https://open.spotify.com/track/11Ey4yJVeWEsA73KjACkVY,2020-01-12
107,108,Shape of You,Ed Sheeran,6608797,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2020-01-12
108,109,Si Te Vas,Sech,6531814,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,2020-01-12
109,110,Hate Me (with Juice WRLD),Ellie Goulding,6527110,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,2020-01-12
110,111,Crowded Room (feat. 6LACK),Selena Gomez,6483001,https://open.spotify.com/track/2C0hTkdEoikhKzDCJl32QZ,2020-01-12
111,112,Tutu,Camilo,6460474,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2020-01-12
112,113,"Yo x Ti, Tu x Mi",ROSALÍA,6434692,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,2020-01-12
